name	provider	accession	tax_id	annotation	species	other_info
ASM317757v1	NCBI	GCA_003177575.1	333757	True	Human papillomavirus 91	Microbiology & Immunology, Albert Einstein College of Medicine
ASM317767v1	NCBI	GCA_003177675.1	333757	True	Human papillomavirus 43	de Villiers E.M., Div. Characterization of Tumorviruses, Deutsches Krebsforschungszentrum, Im Neuenheimer Feld 242, Heidelberg, 69120, GERMANY
ASM317777v1	NCBI	GCA_003177775.1	337051	True	Human papillomavirus 93	na
ASM317787v1	NCBI	GCA_003177875.1	337041	True	Human papillomavirus 67	Yasuyuki Kirii, Kanebo Institute for Cancer Research; 1-5-90 Tomobuchi-cho, Miyakojima-ku, Osaka 534, Japan
ASM317837v1	NCBI	GCA_003178375.1	337051	True	Human papillomavirus 98	de Villiers E.M., Characterization of Tumorviruses, Deutsches Krebsforschungszentrum, Im Neuenheimer Feld 242, Heidelberg, 69120, GERMANY
ASM317839v1	NCBI	GCA_003178395.1	337051	True	Human papillomavirus 99	de Villiers E.M., Characterization of Tumorviruses, Deutsches Krebsforschungszentrum, Im Neuenheimer Feld 242, Heidelberg, 69120, GERMANY
ASM317847v1	NCBI	GCA_003178475.1	333924	True	Human papillomavirus 113	de Villiers E.M., Characterization of Tumorviruses, Deutsches Krebsforschungszentrum, Im Neuenheimer Feld 242, Heidelberg, 69120, GERMANY
ASM317849v1	NCBI	GCA_003178495.1	337039	True	Human papillomavirus 125	Kovanda A., Laboratory for Molecular Microbiology, Institute of Microbiology and Immunology, Medical Faculty of, Zaloka 4, Ljubljana, 1000, SLOVENIA
ASM317859v1	NCBI	GCA_003178595.1	333767	True	Human papillomavirus 114	Department of Clinical Microbiology, Institution of Laboratory Medicine
ASM318051v1	NCBI	GCA_003180515.1	333926	True	Human papillomavirus 65	H. Delius, Deutsches Krebsforschungszentrum, Abt ATV, Im Neuenheimer Feld 506, W -6900 Heidelberg, FRG
ASM318081v1	NCBI	GCA_003180815.1	333767	True	Human papillomavirus 72	H. Delius, Deutsches Kerbsforschungzentrum, Abt. ATV - 0686, Im Neuenheimer Feld 506, 69120 Heidelberg, FRG
ASM318025v1	NCBI	GCA_003180255.1	337051	True	Human papillomavirus 24	Andrew D. Farmer, HIV Sequence Database, Los Alamos National Labroatory, T-10, Mail Stop K710, Los Alamos, NM 87501, USA
ASM318087v1	NCBI	GCA_003180875.1	334207	True	Human papillomavirus 76	H. Delius, Deutsches Krebsforschungzentrum, Abt. ATV - 0686, Im Neuenheimer Feld 506, 69120 Heidelberg, FRG
ASM428791v1	NCBI	GCA_004287915.1	192971	True	Human papillomavirus sp.	Laboratory of Cellular Oncology, National Cancer Institute
ASM3110619v1	NCBI	GCA_031106195.1	337044	True	Human papillomavirus 69	The Biodesign Center of Fundamental and Applied Microbiomics, Arizona State University
ASM3109926v1	NCBI	GCA_031099265.1	337041	True	Human papillomavirus 52	Contact:Iwao Kukimoto National Institute of Infectious Diseases, Pathogen Genomics Center; 4-7-1 Gakuen, Musashi-murayama, Tokyo 208-0011, Japan
ASM3116266v1	NCBI	GCA_031162665.1	333924	True	Human papillomavirus type 182	Department of Pediatrics, Albert Einstein College of Medicine
ASM3116267v1	NCBI	GCA_031162675.1	1513265	True	Human papillomavirus type 183	Department of Pediatrics, Albert Einstein College of Medicine
ASM3116272v1	NCBI	GCA_031162725.1	1175852	True	Human papillomavirus 191	Department of Pediatrics, Albert Einstein College of Medicine
ASM3110592v1	NCBI	GCA_031105925.1	333754	True	Human papillomavirus type 6	to the INSDC. Jelen M., HIV laboratory, Institute of Microbiology and Immunology, Zaloska 4, 1000 Ljubljana, SLOVENIA
ASM3110618v1	NCBI	GCA_031106185.1	337041	True	Human papillomavirus 67	Microbiology and Immunology, Albert Einstein College of Medicine of Yeshiva University
ASM3109887v1	NCBI	GCA_031098875.1	333754	True	Human papillomavirus 13	DACT, UFAM
ASM3109908v1	NCBI	GCA_031099085.1	337050	True	Human papillomavirus 56	Microbiology & Immunology, Albert Einstein College of Medicine
ASM3109917v1	NCBI	GCA_031099175.1	333924	True	Human papillomavirus 17	Department of Medical Microbiology, Malmo University Hospital Lund University
ASM3109922v1	NCBI	GCA_031099225.1	337050	True	Human papillomavirus 30	Department of Pediatrics, Albert Einstein College of Medicine
ASM3109925v1	NCBI	GCA_031099255.1	333757	True	Human papillomavirus 40	The Biodesign Center of Fundamental and Applied Microbiomics, Arizona State University
ASM3111331v1	NCBI	GCA_031113315.1	337044	True	Human papillomavirus 82	Department of Pediatrics, Albert Einstein College of Medicine
ASM3116265v1	NCBI	GCA_031162655.1	1513256	True	Human papillomavirus 181	Department of Pediatrics, Albert Einstein College of Medicine
ASM3116270v1	NCBI	GCA_031162705.1	333929	True	Human papillomavirus type 188	Department of Pediatrics, Albert Einstein College of Medicine
ASM3116271v1	NCBI	GCA_031162715.1	1175849	True	Human papillomavirus 189	Department of Pediatrics, Albert Einstein College of Medicine
ASM3116275v1	NCBI	GCA_031162755.1	337051	True	Human papillomavirus type 195	Department of Pediatrics, Albert Einstein College of Medicine
ASM3116276v1	NCBI	GCA_031162765.1	337051	True	Human papillomavirus type 196	Department of Pediatrics, Albert Einstein College of Medicine
ASM3112060v1	NCBI	GCA_031120605.1	337043	True	Human papillomavirus type 27b	Taihei Yamaguchi, Kagoshima University Graduate School of Medicine and Dental Sciences, Department of Preventive Dentistry; Sakuragaoka 8-chome 35-1, Kagoshima, Kagoshima 890-8544, Japan
